"","X","sitename","plotid","genotype","date","Stem","Leaf","Root","Rhizome","precip","LAI","NDVI","Height"
"523489",523489,"central","C",9958,"1997-07-06",16.65,6.69,5.38,1.95138116343351,0.0401935121261301,4.71,1.54,1.93
"1197442",1197442,"central","C",10014,"1997-10-19",21.78,6.92,5.79,2.99195235512898,0.0191295860262713,4.79,1.59,2.98
"2145893",2145893,"central","D",10093,"1997-06-25",12.23,5.53,4.36,3.11695070316052,0.488595116962998,3.96,1.58,1.68
"2614962",2614962,"north","A",10132,"2007-06-29",3.41,2.66,2.37,2.83086771075096,43.4026688167847,1.74,1.36,0.72
"488645",488645,"central","A",9955,"1999-09-23",20.65,7.22,6.48,2.72760349088079,0.00331175558036153,5.4,1.76,2.37
"437025",437025,"north","A",9951,"2007-08-04",3.23,2.17,2.16,2.41301032091862,0.000227501987935988,1.52,1.35,0.59
"2532421",2532421,"central","B",10125,"2000-08-03",14.34,2.51,1.77,4.13115025122503,0.567158867432072,1.86,1.48,1.87
"1075461",1075461,"central","D",10004,"2000-09-25",17.1,1.86,1.52,6.24759419758133,11.4323105853437,1.38,1.36,2.01
"1257854",1257854,"central","C",10019,"2000-05-10",0,1.72,1.67,1.91188048544681,42.8530267452296,1.13,1.24,0.47
"1413617",1413617,"central","B",10032,"2004-10-27",14.13,2.29,3.26,4.68586370853048,9.13902121467325,1.5,1.4,1.88
"280165",280165,"north","A",9938,"2000-06-12",4.75,3.7,3.91,2.63466759072733,10.5459430053386,2.47,1.56,0.86
"295005",295005,"central","C",9939,"1999-04-30",0.68,1.85,1.94,2.09885537622028,0.010606293229445,1.35,1.36,0.5
"2259983",2259983,"south","B",10102,"2007-05-27",0.25,1.94,2.05,2.98295373615155,7.47802286418544,1.38,1.29,0.56
"414405",414405,"central","B",9949,"1999-07-26",17.32,5.43,3.86,3.60223837530661,0.0573921068861843,3.69,1.57,2.24
